date,close,open,high,low,volume,pct_change,daily_return,cumulative_return,drawdown,ma20,ma50,ma200
2018-05-22,478.0,479.05,480.0,478.0,14380.0,-0.0001,-0.0001045915699194,-0.0062370062370057,-0.0700389105058361,494.5525,497.34100000000007,
2018-05-23,477.0,483.9,483.9,477.0,15670.0,-0.0021,-0.0020920502092049,-0.0083160083160077,-0.0719844357976647,493.4025,496.681,
2018-05-24,477.0,478.0,483.7,476.0,14080.0,0.0,0.0,-0.0083160083160077,-0.0719844357976647,492.2475,496.0210000000001,
2018-05-25,487.8,478.9,487.8,475.6,54590.0,0.0226,0.0226415094339622,0.0141372141372146,-0.0509727626459138,491.6375,495.57700000000006,
2018-05-28,477.15,476.05,477.15,476.05,44140.0,-0.0218,-0.0218327183271833,-0.0080041580041575,-0.0716926070038905,490.245,494.94,
2018-05-29,478.9,477.2,478.9,477.15,9270.0,0.0037,0.0036676097663208,-0.0043659043659038,-0.0682879377431902,488.695,494.338,
2018-05-30,481.05,481.0,481.05,481.0,18140.0,0.0045,0.0044894550010441,0.0001039501039505,-0.0641050583657583,487.7174999999999,493.801,
2018-05-31,485.05,481.7,485.05,481.6,34030.0,0.0083,0.0083151439559296,0.0084199584199589,-0.056322957198443,486.94000000000005,493.502,
2018-06-01,485.5,483.0,489.0,483.0,48380.0,0.0009,0.0009277394083084,0.0093555093555099,-0.0554474708171199,485.97,493.212,
2018-06-04,483.1,487.0,488.5,483.1,15770.0,-0.0049,-0.0049433573635426,0.004365904365905,-0.060116731517509,485.125,492.874,
2018-06-05,483.1,485.0,485.0,483.1,10760.0,0.0,0.0,0.004365904365905,-0.060116731517509,484.4225,492.536,
2018-06-06,485.05,483.95,485.05,483.1,4040.0,0.004,0.0040364313806664,0.0084199584199589,-0.056322957198443,483.775,492.237,
2018-06-07,497.0,485.05,497.0,485.0,8050.000000000001,0.0246,0.0246366353984124,0.0332640332640337,-0.033073929961089,483.82,492.197,
2018-06-08,495.0,485.1,497.0,485.1,71230.0,-0.004,-0.0040241448692153,0.0291060291060294,-0.0369649805447467,483.8875,492.277,
2018-06-11,495.0,495.0,497.0,492.5,58330.0,0.0,0.0,0.0291060291060294,-0.0369649805447467,484.0875,492.177,
2018-06-12,492.3,495.0,497.0,492.3,29480.0,-0.0055,-0.0054545454545453,0.0234927234927238,-0.0422178988326844,484.2525,492.153,
2018-06-13,490.1,492.1,494.95,490.0,7390.0,-0.0045,-0.0044688198253097,0.0189189189189191,-0.0464980544747078,484.4575,492.072,
2018-06-14,490.1,492.0,492.0,489.9,28230.0,0.0,0.0,0.0189189189189191,-0.0464980544747078,484.8125,491.9939999999999,
