"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.04.2025","665,00","665,10","671,00","665,00","57,05K","-1,19%"
"21.04.2025","673,00","665,00","673,00","662,10","26,77K","0,45%"
"18.04.2025","670,00","661,00","670,00","661,00","82,41K","0,90%"
"17.04.2025","664,00","663,00","669,90","660,10","24,41K","-0,15%"
"16.04.2025","665,00","670,00","670,00","660,60","71,25K","0,15%"
"15.04.2025","664,00","648,00","664,80","641,30","43,58K","2,47%"
"14.04.2025","648,00","636,10","648,00","636,10","33,59K","2,84%"
"11.04.2025","630,10","649,00","649,00","625,20","137,93K","-1,55%"
"10.04.2025","640,00","659,00","675,00","638,00","247,64K","0,52%"
"09.04.2025","636,70","640,00","655,00","635,00","145,74K","-3,37%"
"08.04.2025","658,90","660,00","670,00","650,30","95,54K","1,92%"
"07.04.2025","646,50","650,00","656,00","640,00","131,36K","-4,22%"
"04.04.2025","675,00","680,00","684,00","675,00","181,78K","-0,74%"
"03.04.2025","680,00","681,50","688,00","676,30","139,96K","-1,45%"
"02.04.2025","690,00","697,00","697,00","686,20","27,19K","-1,40%"
"28.03.2025","699,80","691,30","699,90","691,30","93,69K","1,41%"
"27.03.2025","690,10","695,00","695,00","680,00","47,91K","-0,27%"
"26.03.2025","692,00","690,00","703,00","690,00","28,45K","-0,16%"
"25.03.2025","693,10","705,00","706,00","685,00","184,54K","-1,69%"
"24.03.2025","705,00","687,00","705,30","687,00","227,94K","2,62%"
"21.03.2025","687,00","680,00","687,00","678,00","229,25K","1,78%"
"20.03.2025","675,00","671,50","678,00","671,50","457,72K","0,73%"
"19.03.2025","670,10","660,70","673,00","660,70","259,54K","3,08%"
"18.03.2025","650,10","645,00","650,10","643,10","118,27K","0,93%"
"17.03.2025","644,10","649,40","650,00","644,00","21,64K","-0,76%"
"14.03.2025","649,00","645,00","650,00","645,00","42,28K","0,62%"
"13.03.2025","645,00","633,00","645,00","633,00","93,71K","1,90%"
"12.03.2025","633,00","643,00","645,00","630,90","87,08K","-1,09%"
"11.03.2025","640,00","640,00","644,50","640,00","100,88K","0,46%"
"10.03.2025","637,10","635,00","648,90","635,00","43,35K","0,33%"
"07.03.2025","635,00","634,50","635,00","632,00","30,24K","0,16%"
"06.03.2025","634,00","635,00","637,00","631,20","61,21K","-0,16%"
"05.03.2025","635,00","635,10","638,00","632,10","39,10K","-0,47%"
"04.03.2025","638,00","640,20","645,00","638,00","100,77K","-1,09%"
"03.03.2025","645,00","641,10","658,00","641,10","30,92K","0,77%"
"28.02.2025","640,10","663,00","663,00","640,10","44,83K","-2,27%"
"27.02.2025","655,00","668,90","668,90","651,50","21,98K","-0,76%"
"26.02.2025","660,00","675,00","676,00","660,00","19,96K","-0,90%"
"25.02.2025","666,00","666,00","670,00","661,00","17,59K","0,00%"
"24.02.2025","666,00","665,20","668,00","660,10","38,78K","0,00%"
"21.02.2025","666,00","669,50","671,00","666,00","49,87K","-0,22%"
"20.02.2025","667,50","666,10","670,00","666,10","38,15K","-0,37%"
"19.02.2025","670,00","655,00","670,00","655,00","86,04K","1,98%"
"18.02.2025","657,00","646,00","657,80","646,00","169,06K","1,37%"
"17.02.2025","648,10","641,00","648,10","641,00","64,33K","0,48%"
"14.02.2025","645,00","638,00","645,00","636,10","61,90K","1,10%"
"13.02.2025","638,00","634,00","644,00","634,00","57,44K","-0,31%"
"12.02.2025","640,00","630,00","641,00","630,00","101,73K","2,24%"
"11.02.2025","626,00","624,40","634,00","624,40","89,90K","-0,63%"
"10.02.2025","630,00","627,00","630,00","623,10","9,79K","0,24%"
"07.02.2025","628,50","622,50","630,00","622,50","106,39K","-0,25%"
"06.02.2025","630,10","623,00","630,10","623,00","21,82K","0,82%"
"05.02.2025","625,00","621,50","627,90","621,50","21,30K","0,47%"
"04.02.2025","622,10","624,10","629,00","622,10","41,48K","-0,27%"
"03.02.2025","623,80","630,00","630,00","623,80","9,49K","-1,14%"
"31.01.2025","631,00","635,00","640,00","625,00","82,92K","-0,79%"
"30.01.2025","636,00","629,00","650,00","626,00","99,98K","0,97%"
"29.01.2025","629,90","616,00","629,90","616,00","86,13K","2,07%"
"28.01.2025","617,10","612,50","619,50","612,50","19,33K","0,36%"
"27.01.2025","614,90","612,10","619,00","612,10","18,79K","-0,02%"
"24.01.2025","615,00","612,10","620,00","612,00","99,24K","0,39%"
"23.01.2025","612,60","610,50","615,00","610,50","94,37K","-0,07%"
"22.01.2025","613,00","613,00","617,80","610,00","139,98K","-0,13%"
"21.01.2025","613,80","622,10","624,00","613,80","75,46K","-1,33%"
"20.01.2025","622,10","620,10","625,00","620,10","16,42K","0,18%"
"17.01.2025","621,00","625,00","627,00","620,40","47,47K","-0,59%"
"16.01.2025","624,70","630,00","630,00","620,10","38,87K","-0,45%"
"15.01.2025","627,50","630,00","630,00","623,20","107,79K","1,21%"
"13.01.2025","620,00","620,00","629,00","607,00","17,32K","0,00%"
"10.01.2025","620,00","620,00","633,00","620,00","219,37K","-0,29%"
"09.01.2025","621,80","614,00","634,00","614,00","147,99K","1,24%"
"08.01.2025","614,20","606,00","620,00","606,00","74,71K","1,34%"
"07.01.2025","606,10","603,40","610,00","603,40","117,84K","0,18%"
"06.01.2025","605,00","602,00","620,00","602,00","126,59K","-0,64%"
"03.01.2025","608,90","585,00","610,10","584,00","344,26K","4,44%"
"02.01.2025","583,00","571,00","590,00","571,00","98,59K","2,46%"
"31.12.2024","569,00","564,50","571,50","564,50","59,24K","0,53%"
"30.12.2024","566,00","560,00","566,00","560,00","106,31K","0,00%"
"27.12.2024","566,00","567,50","569,00","565,00","102,91K","-0,70%"
"26.12.2024","570,00","565,70","573,00","565,70","556,23K","0,09%"
"25.12.2024","569,50","575,00","575,00","565,00","25,67K","-0,09%"
"24.12.2024","570,00","570,00","575,00","566,10","11,01K","-0,70%"
"23.12.2024","574,00","565,60","575,00","565,60","172,15K","0,00%"
"20.12.2024","574,00","571,10","575,00","567,00","89,43K","0,44%"
"19.12.2024","571,50","572,00","577,90","571,50","29,25K","-0,02%"
"18.12.2024","571,60","578,00","578,00","571,60","13,47K","-0,59%"
"17.12.2024","575,00","573,00","585,00","571,50","165,13K","0,44%"
"16.12.2024","572,50","568,00","579,40","568,00","1,07K","0,12%"
"13.12.2024","571,80","573,00","579,00","567,30","53,36K","-0,03%"
"12.12.2024","572,00","569,00","579,50","568,00","27,74K","-0,23%"
"11.12.2024","573,30","570,00","577,90","566,30","8,51K","1,29%"
"10.12.2024","566,00","575,00","583,00","565,00","4,24K","-2,38%"
"09.12.2024","579,80","572,50","584,00","572,50","15,38K","0,83%"
"06.12.2024","575,00","580,00","594,40","575,00","37,32K","-4,17%"
"05.12.2024","600,00","564,00","600,00","564,00","51,79K","5,82%"
"04.12.2024","567,00","572,00","572,00","562,30","10,91K","-0,33%"
"03.12.2024","568,90","565,10","570,00","563,00","3,54K","-0,19%"
"02.12.2024","570,00","576,00","576,00","570,00","11,79K","-0,70%"
"29.11.2024","574,00","571,00","578,00","570,60","29,86K","0,16%"
"28.11.2024","573,10","575,00","580,00","565,00","17,48K","-0,33%"
"27.11.2024","575,00","565,00","575,00","565,00","62,04K","0,88%"
"26.11.2024","570,00","562,10","575,00","560,60","13,37K","1,60%"
"25.11.2024","561,00","572,00","572,10","561,00","51,49K","-2,43%"
"22.11.2024","575,00","575,00","576,50","571,00","14,16K","-0,09%"
"21.11.2024","575,50","580,00","580,00","575,10","25,61K","-0,78%"
"20.11.2024","580,00","584,00","584,00","577,00","54,25K","-0,68%"
"19.11.2024","584,00","579,00","590,00","578,00","66,63K","1,04%"
"15.11.2024","578,00","567,20","578,00","567,20","76,28K","1,46%"
"14.11.2024","569,70","569,90","569,90","565,00","26,19K","0,28%"
"13.11.2024","568,10","571,00","571,00","567,10","13,30K","-0,33%"
"12.11.2024","570,00","567,10","574,00","567,10","34,54K","0,00%"
"11.11.2024","570,00","570,00","571,90","566,00","46,54K","-0,02%"
"08.11.2024","570,10","565,00","570,10","565,00","144,28K","0,90%"
"07.11.2024","565,00","548,00","570,00","547,50","73,81K","3,33%"
"05.11.2024","546,80","547,90","548,00","541,30","17,21K","-0,22%"
"04.11.2024","548,00","548,00","548,00","541,00","16,04K","-0,35%"
"01.11.2024","549,90","544,00","549,90","540,10","59,22K","1,63%"
"31.10.2024","541,10","541,00","542,10","539,00","36,75K","-0,18%"
"30.10.2024","542,10","541,00","548,00","541,00","6,15K","-0,53%"
"29.10.2024","545,00","540,10","545,00","540,10","16,66K","0,00%"
"28.10.2024","545,00","545,00","547,50","538,00","84,83K","0,00%"
"25.10.2024","545,00","539,00","545,00","539,00","104,03K","0,93%"
"24.10.2024","540,00","543,90","543,90","538,00","38,07K","0,75%"
"23.10.2024","536,00","535,00","538,80","534,00","16,92K","-0,54%"
"22.10.2024","538,90","534,10","539,00","534,10","0,66K","0,17%"
"21.10.2024","538,00","534,00","538,00","534,00","6,06K","0,00%"
"18.10.2024","538,00","543,00","543,00","530,10","17,44K","-0,35%"
"17.10.2024","539,90","534,00","543,00","534,00","18,71K","1,29%"
"16.10.2024","533,00","534,00","536,90","530,30","36,24K","-0,56%"
"15.10.2024","536,00","534,00","538,00","534,00","30,31K","0,19%"
"14.10.2024","535,00","538,00","538,00","531,00","4,39K","-0,56%"
"11.10.2024","538,00","533,00","538,00","533,00","62,08K","0,56%"
"10.10.2024","535,00","532,80","540,00","532,80","9,29K","-0,93%"
"09.10.2024","540,00","525,00","540,00","525,00","31,01K","2,86%"
"08.10.2024","525,00","531,00","531,00","524,00","70,66K","-0,94%"
"07.10.2024","530,00","538,00","539,00","530,00","45,79K","-1,49%"
"04.10.2024","538,00","537,00","540,00","536,10","20,20K","0,19%"
"03.10.2024","537,00","533,20","540,00","533,20","29,08K","0,00%"
"02.10.2024","537,00","544,00","544,00","535,00","91,00K","-1,29%"
"01.10.2024","544,00","550,00","550,00","541,00","37,65K","0,18%"
"30.09.2024","543,00","548,00","555,00","542,10","34,25K","-2,16%"
"27.09.2024","555,00","546,00","555,00","545,20","154,89K","0,91%"
"26.09.2024","550,00","548,00","550,00","546,00","25,73K","0,00%"
"25.09.2024","550,00","547,00","558,90","547,00","218,37K","0,57%"
"24.09.2024","546,90","555,00","564,90","546,00","181,99K","-0,51%"
"23.09.2024","549,70","546,10","550,00","546,10","19,81K","0,00%"
"20.09.2024","549,70","553,00","554,90","547,00","51,56K","0,04%"
"19.09.2024","549,50","545,00","550,00","545,00","97,89K","1,72%"
"18.09.2024","540,20","539,00","540,20","535,10","50,12K","0,13%"
"13.09.2024","539,50","533,60","539,50","532,40","74,47K","1,03%"
"12.09.2024","534,00","538,00","538,00","532,60","24,41K","0,00%"
"11.09.2024","534,00","536,90","536,90","531,00","43,90K","-0,37%"
"10.09.2024","536,00","535,30","538,80","535,30","30,53K","-0,17%"
"09.09.2024","536,90","538,00","539,90","535,10","13,91K","-0,24%"
"06.09.2024","538,20","539,70","541,00","535,10","44,94K","0,39%"
"05.09.2024","536,10","535,00","540,00","534,20","39,70K","0,11%"
"04.09.2024","535,50","541,00","541,00","535,00","4,32K","-0,46%"
"03.09.2024","538,00","539,00","544,80","537,60","55,37K","-0,37%"
"02.09.2024","540,00","544,90","544,90","537,00","15,53K","-0,88%"
"30.08.2024","544,80","537,00","545,00","537,00","59,31K","1,45%"
"29.08.2024","537,00","537,00","539,90","537,00","428,19K","0,37%"
"28.08.2024","535,00","541,90","541,90","535,00","27,05K","0,00%"
"27.08.2024","535,00","540,40","544,00","535,00","77,83K","-1,22%"
"26.08.2024","541,60","543,00","546,90","541,60","6,75K","-0,44%"
"23.08.2024","544,00","544,00","547,00","544,00","19,17K","0,13%"
"22.08.2024","543,30","543,20","548,00","543,20","25,94K","0,02%"
"19.08.2024","543,20","548,00","548,00","542,00","23,11K","0,33%"
"16.08.2024","541,40","539,20","544,90","539,20","20,38K","-0,55%"
"15.08.2024","544,40","539,00","544,40","538,10","21,21K","0,81%"
"13.08.2024","540,00","538,50","543,00","538,30","24,19K","0,00%"
"12.08.2024","540,00","538,00","546,00","538,00","19,31K","-0,18%"
